setting_name,include_labels,include_meshes,top_k,idx,gold,pred,first_answer,confidence,used_retrieval,t_self_ms,t_retrieve_ms,t_total_ms
with_labels_mesh,1,1,1,1,yes,yes,yes,high,0,685.694,0.000,685.695
with_labels_mesh,1,1,1,2,no,yes,maybe,medium,1,117.564,466.663,672.800
with_labels_mesh,1,1,1,3,yes,maybe,maybe,medium,1,115.385,66.011,202.884
with_labels_mesh,1,1,1,4,no,no,maybe,medium,1,115.410,65.376,208.377
with_labels_mesh,1,1,1,5,yes,maybe,maybe,medium,1,115.385,66.139,193.358
with_labels_mesh,1,1,1,6,yes,maybe,maybe,medium,1,114.887,66.035,195.215
with_labels_mesh,1,1,1,7,maybe,yes,yes,high,0,115.665,0.000,115.665
with_labels_mesh,1,1,1,8,no,yes,yes,high,0,115.085,0.000,115.086
with_labels_mesh,1,1,1,9,no,maybe,maybe,medium,1,114.868,66.597,205.988
with_labels_mesh,1,1,1,10,yes,maybe,maybe,medium,1,115.055,65.602,195.334
with_labels_mesh,1,1,1,11,yes,maybe,maybe,low,1,117.705,120.173,249.876
with_labels_mesh,1,1,1,12,no,maybe,maybe,medium,1,115.584,65.704,195.356
with_labels_mesh,1,1,1,13,yes,maybe,maybe,medium,1,114.871,66.035,200.153
with_labels_mesh,1,1,1,14,no,yes,yes,high,0,662.206,0.000,662.206
with_labels_mesh,1,1,1,15,yes,yes,yes,high,0,115.132,0.000,115.132
with_labels_mesh,1,1,1,16,yes,maybe,maybe,medium,1,115.321,66.726,199.908
with_labels_mesh,1,1,1,17,yes,yes,yes,high,0,115.213,0.000,115.214
with_labels_mesh,1,1,1,18,yes,yes,yes,high,0,115.286,0.000,115.286
with_labels_mesh,1,1,1,19,yes,yes,yes,high,0,114.842,0.000,114.842
with_labels_mesh,1,1,1,20,yes,yes,yes,high,0,114.860,0.000,114.861
with_labels_mesh,1,1,1,21,yes,maybe,maybe,medium,1,115.132,65.375,194.722
with_labels_mesh,1,1,1,22,yes,maybe,maybe,medium,1,114.745,65.464,194.411
with_labels_mesh,1,1,1,23,yes,yes,yes,high,0,114.949,0.000,114.949
with_labels_mesh,1,1,1,24,yes,maybe,maybe,medium,1,115.778,101.234,231.549
with_labels_mesh,1,1,1,25,yes,maybe,maybe,medium,1,114.605,65.838,195.626
with_labels_mesh,1,1,1,26,no,yes,yes,high,0,115.521,0.000,115.521
with_labels_mesh,1,1,1,27,yes,yes,yes,high,0,662.240,0.000,662.241
with_labels_mesh,1,1,1,28,maybe,maybe,maybe,medium,1,115.707,67.375,206.834
with_labels_mesh,1,1,1,29,yes,no,no,high,0,115.211,0.000,115.211
with_labels_mesh,1,1,1,30,yes,no,no,high,0,115.062,0.000,115.063
with_labels_mesh,1,1,1,31,no,yes,maybe,medium,1,115.345,65.864,195.626
with_labels_mesh,1,1,1,32,maybe,maybe,maybe,medium,1,114.991,66.072,194.258
with_labels_mesh,1,1,1,33,no,yes,yes,high,0,115.359,0.000,115.360
with_labels_mesh,1,1,1,34,yes,maybe,no,medium,1,662.760,65.887,743.979
with_labels_mesh,1,1,1,35,yes,maybe,maybe,medium,1,115.394,66.490,193.958
with_labels_mesh,1,1,1,36,no,yes,yes,high,0,115.028,0.000,115.029
with_labels_mesh,1,1,1,37,no,yes,yes,high,0,115.651,0.000,115.652
with_labels_mesh,1,1,1,38,no,yes,yes,high,0,114.933,0.000,114.933
with_labels_mesh,1,1,1,39,yes,maybe,maybe,high,0,114.940,0.000,114.941
with_labels_mesh,1,1,1,40,no,maybe,maybe,medium,1,114.820,65.535,200.804
with_labels_mesh,1,1,1,41,yes,maybe,maybe,medium,1,116.202,66.866,201.931
with_labels_mesh,1,1,1,42,yes,maybe,maybe,medium,1,115.113,66.533,195.944
with_labels_mesh,1,1,1,43,maybe,yes,maybe,medium,1,115.053,65.848,200.609
with_labels_mesh,1,1,1,44,no,yes,yes,high,0,662.950,0.000,662.950
with_labels_mesh,1,1,1,45,yes,no,maybe,medium,1,114.820,65.800,198.299
with_labels_mesh,1,1,1,46,yes,yes,yes,high,0,115.267,0.000,115.268
with_labels_mesh,1,1,1,47,yes,yes,yes,high,0,114.926,0.000,114.927
