setting_name,include_labels,include_meshes,top_k,cm_yy,cm_yn,cm_ym,cm_ny,cm_nn,cm_nm,cm_my,cm_mn,cm_mm
with_labels_mesh,1,1,1,70,26,456,43,18,277,21,2,87
with_labels_mesh,1,1,2,84,9,459,41,9,288,17,2,91
with_labels_mesh,1,1,3,109,14,429,41,12,285,22,1,87
with_labels_mesh,1,1,4,127,22,403,57,16,265,21,2,87
with_labels_mesh,1,1,5,127,12,413,54,14,270,26,2,82
no_labels_mesh,0,0,1,91,25,436,42,21,275,21,3,86
no_labels_mesh,0,0,2,104,7,441,46,9,283,22,1,87
no_labels_mesh,0,0,3,129,7,416,51,13,274,28,1,81
no_labels_mesh,0,0,4,141,17,394,62,21,255,21,2,87
no_labels_mesh,0,0,5,146,16,390,60,20,258,27,2,81
