setting_name,include_labels,include_meshes,top_k,accuracy,hallucination,avg_t_retrieve_ms,avg_t_llm_ms,avg_t_total_ms
with_labels_mesh,1,1,1,0.175000,0.092000,69.455,21.644,91.107
with_labels_mesh,1,1,2,0.184000,0.069000,67.169,24.026,91.203
with_labels_mesh,1,1,3,0.208000,0.078000,65.616,42.010,107.635
with_labels_mesh,1,1,4,0.230000,0.102000,65.890,52.689,118.590
with_labels_mesh,1,1,5,0.223000,0.094000,68.867,63.762,132.641
no_labels_mesh,0,0,1,0.198000,0.091000,68.679,19.322,88.010
no_labels_mesh,0,0,2,0.200000,0.076000,68.543,20.312,88.865
no_labels_mesh,0,0,3,0.223000,0.087000,69.059,30.954,100.023
no_labels_mesh,0,0,4,0.249000,0.102000,69.126,43.900,113.038
no_labels_mesh,0,0,5,0.247000,0.105000,69.210,52.837,122.060
