setting_name,include_labels,include_meshes,top_k,accuracy,hallucination,used_retrieval_rate,avg_t_self_ms,avg_t_retrieve_ms,avg_t_total_ms
with_labels_mesh,1,1,1,0.299000,0.190000,0.628000,85.676,52.481,152.253
with_labels_mesh,1,1,2,0.303000,0.170000,0.627000,84.734,48.939,147.945
with_labels_mesh,1,1,3,0.319000,0.171000,0.628000,84.812,44.061,145.228
with_labels_mesh,1,1,4,0.326000,0.185000,0.627000,85.918,43.933,162.812
with_labels_mesh,1,1,5,0.326000,0.184000,0.627000,86.372,43.114,169.707
no_labels_mesh,0,0,1,0.309000,0.181000,0.626000,85.385,43.970,141.700
no_labels_mesh,0,0,2,0.312000,0.170000,0.627000,84.663,44.119,141.672
no_labels_mesh,0,0,3,0.326000,0.175000,0.627000,84.767,44.478,142.837
no_labels_mesh,0,0,4,0.332000,0.190000,0.628000,84.708,44.148,149.581
no_labels_mesh,0,0,5,0.337000,0.191000,0.627000,85.431,44.125,163.004
